SoC,voltage_V
0,2.7838
0.01,2.9449
0.02,3.053
0.03,3.122
0.04,3.1701
0.05,3.2043
0.06,3.2255
0.07,3.2493
0.08,3.2724
0.09,3.2969
0.1,3.3243
0.11,3.3549
0.12,3.3781
0.13,3.395
0.14,3.4094
0.15,3.4209
0.16,3.4325
0.17,3.4437
0.18,3.4542
0.19,3.4659
0.2,3.4766
0.21,3.4845
0.22,3.4931
0.23,3.5021
0.24,3.5092
0.25,3.5195
0.26,3.5302
0.27,3.541
0.28,3.5523
0.29,3.5633
0.3,3.5728
0.31,3.5821
0.32,3.5898
0.33,3.5967
0.34,3.6036
0.35,3.6109
0.36,3.6179
0.37,3.6244
0.38,3.6313
0.39,3.6378
0.4,3.6426
0.41,3.6487
0.42,3.6552
0.43,3.6614
0.44,3.6676
0.45,3.6732
0.46,3.6802
0.47,3.6877
0.48,3.6958
0.49,3.7043
0.5,3.7128
0.51,3.7206
0.52,3.7299
0.53,3.7398
0.54,3.7498
0.55,3.7596
0.56,3.7689
0.57,3.7792
0.58,3.7896
0.59,3.8012
0.6,3.8143
0.61,3.8272
0.62,3.8389
0.63,3.853
0.64,3.8658
0.65,3.8787
0.66,3.8889
0.67,3.8978
0.68,3.9062
0.69,3.9139
0.7,3.9211
0.71,3.929
0.72,3.9376
0.73,3.9458
0.74,3.9554
0.75,3.9649
0.76,3.9748
0.77,3.9845
0.78,3.9946
0.79,4.0057
0.8,4.0165
0.81,4.0271
0.82,4.0378
0.83,4.0479
0.84,4.057
0.85,4.0649
0.86,4.072
0.87,4.0777
0.88,4.0818
0.89,4.0849
0.9,4.0884
0.91,4.0919
0.92,4.0955
0.93,4.0997
0.94,4.1047
0.95,4.1105
0.96,4.1195
0.97,4.1302
0.98,4.1437
0.99,4.1615
1,4.1841
