Ecell/V,I/mA,Capacity/mA.h
4.1991,0,0
4.1984,0,0
4.198,0,0
4.1978,0,0
4.1976,0,0
4.1973,0,0
4.1973,0,0
4.1971,0,0
4.1969,0,0
4.1967,0,0
4.1966,0,0
4.1965,0,0
4.1964,0,0
4.1961,0,0
4.196,0,0
4.1932,-2861.1504,0.0016
4.1922,-2860.9534,2.3637
4.1912,-2860.9534,11.7629
4.1902,-2860.7563,26.2741
4.1892,-2860.3623,44.8957
4.1881,-2860.7563,67.6054
4.1871,-2861.3474,95.0963
4.1861,-2861.3474,124.0861
4.1851,-2860.7563,155.6558
4.184,-2860.1658,188.3305
4.183,-2860.3623,222.0621
4.1819,-2861.3474,257.5948
4.1809,-2860.9534,291.5711
4.1799,-2860.7563,328.9664
4.1788,-2860.9534,366.7402
4.1778,-2860.3623,405.105
4.1768,-2862.332,442.4129
4.1761,-2861.1504,476.7881
4.1791,0,476.7881
4.1801,0,476.7881
4.1812,0,476.7881
4.1822,0,476.7881
4.1794,-2862.332,476.7897
4.1784,-2860.5593,478.8944
4.1774,-2861.5444,488.8836
4.1764,-2861.5444,503.4889
4.1753,-2861.3474,522.0713
4.1743,-2860.1658,549.0943
4.1733,-2862.7261,578.6762
4.1723,-2862.135,612.9187
4.1712,-2861.7412,647.3403
4.1701,-2860.9534,687.78
4.1691,-2862.332,724.4941
4.1681,-2861.5444,762.2476
4.1671,-2860.5593,803.1677
4.166,-2861.3474,843.1766
4.165,-2860.3623,884.1616
4.164,-2860.1658,923.8837
4.1634,-2859.7717,953.5919
4.1666,0,953.5919
4.1677,0,953.5919
4.1687,0,953.5919
4.1697,0,953.5919
4.1674,-2859.9688,953.5935
4.1664,-2861.5444,955.6997
4.1654,-2861.7412,966.5324
4.1643,-2860.7563,981.4153
4.1633,-2861.1504,1001.4767
4.1623,-2860.3623,1028.4477
4.1613,-2861.3474,1059.917
4.1602,-2860.7563,1094.2025
4.1592,-2860.7563,1131.869
4.1582,-2862.7261,1171.2679
4.1571,-2860.5593,1209.1218
4.1561,-2861.3474,1252.229
4.155,-2861.1504,1293.4669
4.154,-2861.1504,1335.6743
4.153,-2860.7563,1377.3237
4.152,-2861.7412,1418.7769
4.1519,-2862.135,1430.3773
4.1549,0,1430.3773
4.1559,0,1430.3773
4.1569,0,1430.3773
4.1579,0,1430.3773
4.159,0,1430.3773
4.1561,-2861.3474,1430.3789
4.1551,-2861.5444,1432.9953
4.154,-2862.7261,1443.5371
4.153,-2860.9534,1459.9728
4.152,-2860.7563,1481.2963
4.151,-2862.135,1508.2594
4.1499,-2862.332,1541.3053
4.1489,-2861.5444,1575.4052
4.1479,-2861.1504,1611.5093
4.1469,-2861.7412,1652.2166
4.1458,-2860.5593,1693.1558
4.1448,-2861.3474,1734.6871
4.1437,-2861.5444,1775.9626
4.1427,-2860.9534,1819.3854
4.1417,-2860.9534,1863.6907
4.1408,-2860.9534,1907.1535
4.1438,0,1907.1535
4.1449,0,1907.1535
4.1459,0,1907.1535
4.1469,0,1907.1535
4.1479,0,1907.1535
4.1452,-2861.1504,1907.155
4.1442,-2859.9688,1909.9527
4.1432,-2861.3474,1919.6901
4.1421,-2862.5291,1934.9606
4.1411,-2860.3623,1957.0834
4.1401,-2860.9534,1984.232
4.139,-2860.3623,2015.9931
4.138,-2860.5593,2054.0889
4.137,-2860.7563,2091.7663
4.136,-2860.3623,2131.3672
4.1349,-2861.1504,2172.2653
4.1339,-2860.9534,2214.6639
4.1329,-2861.7412,2255.9977
4.1319,-2861.1504,2300.245
4.1308,-2860.7563,2343.3678
4.1302,-2862.135,2383.9393
4.1332,0,2383.9393
4.1342,0,2383.9393
4.1352,0,2383.9393
4.1362,0,2383.9393
4.1373,0,2383.9393
4.1344,-2860.7563,2383.9409
4.1334,-2860.7563,2387.5365
4.1323,-2861.9382,2398.4806
4.1313,-2861.3474,2414.8496
4.1303,-2860.5593,2436.1
4.1293,-2859.7717,2463.721
4.1282,-2859.7717,2499.0432
4.1272,-2860.5593,2534.9853
4.1262,-2861.7412,2572.5898
4.1252,-2861.3474,2612.6248
4.1241,-2860.5593,2656.0917
4.1231,-2860.7563,2697.0931
4.1221,-2860.7563,2739.8653
4.1211,-2861.3474,2784.419
4.12,-2861.3474,2828.1814
4.1195,-2861.5444,2860.7294
4.1225,0,2860.7294
4.1235,0,2860.7294
4.1245,0,2860.7294
4.1256,0,2860.7294
4.1266,0,2860.7294
4.1238,-2861.3474,2860.731
4.1228,-2861.3474,2864.2631
4.1218,-2861.1504,2874.8657
4.1207,-2861.3474,2891.6245
4.1197,-2860.5593,2914.6128
4.1186,-2861.7412,2944.0322
4.1176,-2861.5444,2978.4935
4.1166,-2861.5444,3015.0926
4.1156,-2861.1504,3054.2669
4.1145,-2860.7563,3092.3762
4.1135,-2860.3623,3137.2012
4.1125,-2860.9534,3178.6042
4.1115,-2862.135,3222.3582
4.1104,-2861.9382,3266.7619
4.1094,-2860.9534,3309.6713
4.1089,-2861.1504,3337.5214
4.112,0,3337.5214
4.113,0,3337.5214
4.114,0,3337.5214
4.115,0,3337.5214
4.1161,0,3337.5214
4.1135,-2860.9534,3337.523
4.1124,-2862.5291,3340.742
4.1114,-2862.5291,3350.5595
4.1104,-2861.9382,3366.9132
4.1093,-2863.1199,3389.6634
4.1083,-2861.3474,3419.0658
4.1073,-2862.135,3452.0024
4.1063,-2861.9382,3488.2387
4.1052,-2860.3623,3527.8449
4.1042,-2861.9382,3570.3153
4.1031,-2862.332,3611.7874
4.1021,-2861.7412,3654.8742
4.1011,-2860.7563,3699.0858
4.1,-2862.5291,3744.9103
4.099,-2860.9534,3789.5603
4.0986,-2860.7563,3814.3235
4.1016,0,3814.3235
4.1026,0,3814.3235
4.1037,0,3814.3235
4.1047,0,3814.3235
4.1057,0,3814.3235
4.1033,-2860.7563,3814.3251
4.1023,-2861.1504,3816.2183
4.1013,-2860.7563,3826.4471
4.1002,-2860.5593,3840.8374
4.0992,-2861.7412,3862.096
4.0982,-2861.1504,3889.5982
4.0972,-2861.3474,3922.7971
4.0961,-2861.5444,3959.4167
4.0951,-2862.135,3997.6987
4.0941,-2861.9382,4040.5679
4.093,-2860.1658,4083.0379
4.092,-2861.3474,4125.2441
4.0909,-2861.3474,4170.0109
4.0899,-2862.5291,4214.5391
4.0889,-2859.9688,4259.9575
4.0884,-2861.3474,4291.1052
4.0913,0,4291.1052
4.0924,0,4291.1052
4.0934,0,4291.1052
4.0944,0,4291.1052
4.0955,0,4291.1052
4.0931,-2860.5593,4291.1068
4.092,-2861.1504,4293.4562
4.091,-2860.3623,4302.2734
4.09,-2861.3474,4317.9099
4.089,-2860.3623,4338.9665
4.0879,-2861.9382,4367.0521
4.0869,-2861.5444,4399.11
4.0859,-2859.7717,4435.3642
4.0849,-2860.5593,4475.2853
4.0839,-2860.9534,4514.9488
4.0828,-2860.3623,4558.7042
4.0818,-2860.1658,4601.9538
4.0807,-2862.135,4647.0091
4.0797,-2861.7412,4691.3296
4.0787,-2861.1504,4736.5899
4.0781,-2860.1658,4767.8988
4.0812,0,4767.8988
4.0822,0,4767.8988
4.0832,0,4767.8988
4.0842,0,4767.8988
4.0853,0,4767.8988
4.0827,-2861.1504,4767.9004
4.0817,-2862.5291,4771.2085
4.0807,-2860.7563,4782.4359
4.0796,-2861.5444,4798.0441
4.0786,-2860.5593,4820.1901
4.0776,-2861.1504,4850.2681
4.0766,-2862.5291,4883.2898
4.0755,-2861.3474,4922.048
4.0745,-2860.1658,4960.8302
4.0735,-2860.9534,5000.5074
4.0725,-2860.7563,5044.3251
4.0715,-2860.9534,5088.7483
4.0704,-2861.1504,5133.0951
4.0694,-2860.9534,5175.879
4.0684,-2861.7412,5220.6859
4.068,-2860.7563,5244.6972
4.071,0,5244.6972
4.072,0,5244.6972
4.0731,0,5244.6972
4.0741,0,5244.6972
4.0752,0,5244.6972
4.0727,-2861.1504,5244.6988
4.0717,-2861.5444,5247.824
4.0707,-2861.9382,5258.1486
4.0696,-2861.5444,5274.0509
4.0686,-2861.1504,5295.3102
4.0676,-2861.3474,5323.0025
4.0666,-2860.7563,5357.218
4.0655,-2860.5593,5393.9561
4.0645,-2861.1504,5433.5728
4.0635,-2861.9382,5476.1823
4.0624,-2860.7563,5519.9157
4.0614,-2860.7563,5564.8457
4.0603,-2861.5444,5606.0917
4.0593,-2860.9534,5652.124
4.0583,-2861.5444,5700.0831
4.0579,-2861.1504,5721.5034
4.0609,0,5721.5034
4.0619,0,5721.5034
4.0629,0,5721.5034
4.0639,0,5721.5034
4.065,0,5721.5034
4.0627,-2860.9534,5721.505
4.0617,-2862.135,5724.3981
4.0607,-2861.7412,5734.1916
4.0596,-2861.1504,5750.062
4.0586,-2861.3474,5772.6975
4.0576,-2859.7717,5800.2624
4.0566,-2861.5444,5833.6834
4.0555,-2861.3474,5870.8427
4.0545,-2860.9534,5911.2965
4.0535,-2861.7412,5952.0922
4.0525,-2861.7412,5995.3848
4.0514,-2861.7412,6038.8695
4.0504,-2860.3623,6083.9041
4.0494,-2861.1504,6127.5638
4.0484,-2861.5444,6175.2525
4.0481,-2861.9382,6198.2943
4.051,0,6198.2943
4.052,0,6198.2943
4.0531,0,6198.2943
4.0541,0,6198.2943
4.0551,0,6198.2943
4.0528,-2862.332,6198.2959
4.0518,-2860.7563,6201.2207
4.0508,-2861.7412,6211.3715
4.0498,-2862.5291,6226.9075
4.0487,-2860.5593,6248.0321
4.0477,-2861.1504,6275.7895
4.0467,-2860.9534,6310.0705
4.0456,-2861.1504,6347.3479
4.0446,-2861.3474,6387.2686
4.0435,-2861.7412,6430.012
4.0425,-2861.5444,6473.829
4.0415,-2860.5593,6517.7428
4.0405,-2859.9688,6559.7551
4.0394,-2860.9534,6609.0548
4.0384,-2860.7563,6654.3346
4.0381,-2862.135,6675.087
4.0411,0,6675.087
4.0421,0,6675.087
4.0431,0,6675.087
4.0442,0,6675.087
4.0452,0,6675.087
4.043,-2861.7412,6675.0886
4.042,-2861.7412,6677.767
4.0409,-2861.1504,6688.0544
4.0399,-2861.5444,6702.8783
4.0389,-2861.9382,6725.095
4.0379,-2861.3474,6753.1147
4.0368,-2860.5593,6785.8345
4.0358,-2861.7412,6823.6913
4.0348,-2860.3623,6863.8004
4.0337,-2859.3777,6908.0377
4.0327,-2861.3474,6951.4196
4.0317,-2861.3474,6994.1497
4.0307,-2860.5593,7039.8381
4.0296,-2860.3623,7086.3548
4.0286,-2860.7563,7131.3023
4.0284,-2861.1504,7151.8686
4.0313,0,7151.8686
4.0323,0,7151.8686
4.0333,0,7151.8686
4.0344,0,7151.8686
4.0354,0,7151.8686
4.0333,-2860.9534,7151.8702
4.0323,-2860.7563,7154.0336
4.0312,-2862.135,7164.1398
4.0302,-2861.9382,7179.3104
4.0292,-2860.1658,7200.2811
4.0282,-2860.3623,7227.9723
4.0271,-2860.7563,7259.4416
4.0261,-2860.7563,7300.974
4.0251,-2861.3474,7339.4197
4.024,-2861.7412,7382.5274
4.023,-2860.9534,7426.0119
4.022,-2860.7563,7471.0509
4.021,-2861.1504,7516.0868
4.0199,-2859.9688,7563.6465
4.0189,-2861.3474,7609.0127
4.0186,-2860.9534,7628.6511
4.0216,0,7628.6511
4.0226,0,7628.6511
4.0236,0,7628.6511
4.0247,0,7628.6511
4.0257,0,7628.6511
4.0237,-2862.135,7628.6527
4.0227,-2861.7412,7630.5586
4.0217,-2861.5444,7639.5492
4.0207,-2861.1504,7654.5689
